No,Content,CreateDate,Price,Picture,Size,Title
355915284524115_798349522299607,"超特大的杯麵
又可以出街用
又可以當收納袋使用！
一舉兩得～聽講仲會有小編最愛海鮮味～～～
-
【杯麵收納/隨身袋】
/尺寸: 52.5*45cm-62L/
$185
🛎️ 自助下單: some2some.co
📞 whatsapp: 55109214
-
#畢業公仔 #hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #s2s袋",2023-09-04T10:16:24+0000,185,https://scontent-hkg4-2.xx.fbcdn.net/v/t39.30808-6/374501205_18382214572050183_3466306093869382687_n.jpg?stp=dst-jpg_p720x720&_nc_cat=104&ccb=1-7&_nc_sid=49d041&_nc_ohc=IXT8Y8ZjLmUAX-d9ojk&_nc_ht=scontent-hkg4-2.xx&edm=APCh5TUEAAAA&oh=00_AfDGVuNwhkPAUS6tSVcBvXcmMQxN7siiNTHQ57juzF1X3w&oe=64FC3226,"隨身袋】
",杯麵收納/隨身袋
355915284524115_797098562424703,"❗訂製❗
見到之前個個爭住試玩日本既地獄拼圖
有冇親切感少少架...
唔怕！有我地推出既面面面面面拼圖
無論買比你情人，你同學，你老母...都得
等佢覺得你無時無刻都掛住佢
快d搶購啦🎫
🤡
面面面面面面拼圖 
(A4 SIZE)
*客人需自行提供相片訂製*
$180 (原價$200, 限時9折） 
----
Whatsapp:55109214
#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮",2023-09-02T10:51:26+0000,180,https://scontent-hkg4-1.xx.fbcdn.net/v/t39.30808-6/373344206_18381824002050183_3169606098951047084_n.jpg?stp=dst-jpg_p720x720&_nc_cat=102&ccb=1-7&_nc_sid=49d041&_nc_ohc=ERf3wMa03ygAX-2dETH&_nc_ht=scontent-hkg4-1.xx&edm=APCh5TUEAAAA&oh=00_AfCfskUH7KH5e5EQtn3uiMyEy8_493xJ2sXN69qnHUazEQ&oe=64FC85B8,,
355915284524115_796430885824804,"鴨鴨鴨鴨鴨鴨
鴨鴨鴨鴨
鴨鴨鴨鴨鴨鴨鴨？
鴨鴨鴨！！！ -。-
-
【雪糕鴨小燈】
/103x89x130mm
USB充電 ｜ 冷暖光源 ｜ 三檔燈/
$200
-
whatsapp:55109214
-
#畢業公仔 #hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #s2s燈",2023-09-01T09:48:34+0000,200,https://scontent-hkg4-1.xx.fbcdn.net/v/t39.30808-6/372810152_18381631450050183_3385358689119623435_n.jpg?stp=dst-jpg_p720x720&_nc_cat=107&ccb=1-7&_nc_sid=49d041&_nc_ohc=YuCopjizmScAX_KnQg0&_nc_oc=AQli2BOgLwc1ygpOpTlaggxsVdkCZBYEp5S_NdF0yGWe-c7xIaHiYfmVSqir1xo3cIs&_nc_ht=scontent-hkg4-1.xx&edm=APCh5TUEAAAA&oh=00_AfAhgYgA44F6NCEO0gB_aFKs9niICKqxgokYbJYJFQExZA&oe=64FBE998,"103x89x130mm
USB充電 ｜ 冷暖光源 ｜ 三檔燈",雪糕鴨小燈
355915284524115_795050635962829,"蠟筆小新韓國正版授權

為忙碌的生活添加點童趣，肥嘟嘟左衛門靜音鬧鐘是不錯的選擇喔，每天讓可愛鬧鐘叫醒 揭開一天的序幕.....

100%真實還原卡通裡小新用的鬧鐘哦！
附加照明燈功能，暗暗的環境也可以看清楚時間。
鬧鈴的聲音是肥嘟嘟左衛門配音員的聲音呦 (嘿，別睡了，起床!! 叫醒你的辛苦費是一億韓元(moon laugh))

鬧鐘響的時候，按照明按鈕，鬧鐘就會關掉，5分鐘後提醒會再次響起來，若要完全關閉鬧鐘功能，請將背面的鬧鐘按鈕設置為OFF。
-
【左衛門嘟嘟鬧鐘】
/商品尺寸：約高12.5*9.5cm
商品材質：塑料(ABS PS)/
-
$299
-
whatsapp:55109",2023-08-30T10:10:16+0000,299,https://scontent-hkg4-2.xx.fbcdn.net/v/t39.30808-6/372665087_18381247105050183_5445627540622909647_n.jpg?stp=dst-jpg_p720x720&_nc_cat=111&ccb=1-7&_nc_sid=49d041&_nc_ohc=SooCFF9fQAgAX8v2FmF&_nc_ht=scontent-hkg4-2.xx&edm=APCh5TUEAAAA&oh=00_AfCdWoZq9Zg75j0NSTrovmoWt5lH2cNy6ro1xtaYqHT6gQ&oe=64FAF0FC,"商品尺寸：約高12.5*9.5cm
商品材質：塑料(ABS PS)",左衛門嘟嘟鬧鐘
355915284524115_794365756031317,"商品描述
受到大家喜愛的「麵包」造型戒指登場！
這款戒指的盒子可以堆疊起來，組成一個公寓。

【套裝內容】
・熱狗麵包捲
・奶油麵包
・糖霜可頌
・蜜瓜麵包
・巧克力可頌
-
【麵包造型戒指】
/一套五款/
$250
-
whatsapp:55109214
-
#畢業公仔 #hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #s2s扭蛋",2023-08-29T09:54:21+0000,250,https://scontent-hkg4-1.xx.fbcdn.net/v/t39.30808-6/372695729_18381061897050183_2696670701844578833_n.jpg?stp=dst-jpg_p720x720&_nc_cat=107&ccb=1-7&_nc_sid=49d041&_nc_ohc=_mZPofNUwvkAX_eYAH6&_nc_ht=scontent-hkg4-1.xx&edm=APCh5TUEAAAA&oh=00_AfArgB24eN25kD3CQs7yyVatBnrDbodVsqMQhE67cplrhg&oe=64FC184B,一套五款,套裝內容
355915284524115_793705296097363,"‼️最後20盆現貨‼️

食人花花全裸寫真登場😍�
有好多人問點解會有紅、綠、黃、黑色
紅、色🔴🟢＝主要係因為消化腺體的色素（花青素）成分影響
只要光合作用時光線充足，都會出現紅、綠健康既顏色
黃🟡＝準備枯掉
黑⚫＝已死可選擇剪掉，會繼續生長其他口
-
食人花玻璃盆景
$99
Whatsapp: 55109214
-
#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #人面獸心拖鞋 #s",2023-08-28T10:07:27+0000,99,https://scontent-hkg4-1.xx.fbcdn.net/v/t39.30808-6/370444217_18380872816050183_2355231868438746715_n.jpg?stp=dst-jpg_p720x720&_nc_cat=108&ccb=1-7&_nc_sid=49d041&_nc_ohc=Onv8Jdqz-ToAX_FUcyI&_nc_ht=scontent-hkg4-1.xx&edm=APCh5TUEAAAA&oh=00_AfByDbM5JrIjVBEdCoY63v89YRJAMW7d3tU8LYsdFghiRQ&oe=64FBFBEA,,
355915284524115_793089599492266,"小樹懶🦥是動作很慢的動物，牠們每天都懶洋洋地掛在樹上，慢吞吞地吃葉子。但是，小樹懶的生活上有一件事情是必須要做，而且對牠們來説是一件最危險的事情。請問小樹懶🦥在做甚麼事情時最危險呢？
就係去popo💩💩嘅時候喇
點解？很多在樹上生存的動物，都會直接在樹上popo，但三趾樹懶🦥卻堅持一定要爬到樹下，找特定位置上廁所💩💩，樹懶離開樹上會因沒有保護色，容易被獵食者發現，因而有被吃獵食的風險；還可能會因為爬樹太累而爬不回去，因此樹懶🦥有50%的死亡率，是發生在爬下樹去popo的時候。
-
【樹懶地毯】
/40X77CM/
$180
-
whatsapp:55109214
-
#畢業公仔",2023-08-27T10:43:56+0000,180,https://scontent-hkg4-2.xx.fbcdn.net/v/t39.30808-6/371103707_18380687608050183_5258604852383475773_n.jpg?stp=dst-jpg_p720x720&_nc_cat=104&ccb=1-7&_nc_sid=49d041&_nc_ohc=dAPRKRPtGVcAX90Sgp7&_nc_ht=scontent-hkg4-2.xx&edm=APCh5TUEAAAA&oh=00_AfACo7_P1BQ4ya1xWjjUB3k-ZhKTcds5ZR0QUl7aV4-kpg&oe=64FB004C,40X77CM,樹懶地毯
355915284524115_792410159560210,"💐
維尼波波手工花束
35cm X 25cm
＄320
whatsapp:55109214
-
#hkigshop #igshop #文青 #有趣 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜  #手作 #食人花 #訂造 #手機殼 #iphonecase #s2s花 #畢業花 #生日花 #情人節花 #紀念日花 #花束 #畢業花束 #畢業",2023-08-26T10:01:17+0000,,https://scontent-hkg4-1.xx.fbcdn.net/v/t39.30808-6/371057127_18380488051050183_2370104556986522522_n.jpg?stp=dst-jpg_p720x720&_nc_cat=101&ccb=1-7&_nc_sid=49d041&_nc_ohc=4xb_BckP6_oAX_rVfpK&_nc_ht=scontent-hkg4-1.xx&edm=APCh5TUEAAAA&oh=00_AfD2kfPL63lqfha_LRdh5UeuuRZTZjgx7HRD-YnLc4aDyw&oe=64FB1810,,
355915284524115_791684472966112,"**新款抱枕訂製來了**
這次是可愛的中指招財貓
以及青島啤酒萬歲的自由女神像～
不知你們喜愛哪一款呢？
-
招財貓/自由神像抱枕
-
30CM $190
40CM $220
50CM $250
60CM $290
-
whatsapp:55109214
-
#畢業公仔 #hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #s2s訂製",2023-08-25T09:56:52+0000,190,https://scontent-hkg4-2.xx.fbcdn.net/v/t39.30808-6/369737112_18380292265050183_8971729643972722078_n.jpg?stp=dst-jpg_p720x720&_nc_cat=111&ccb=1-7&_nc_sid=49d041&_nc_ohc=HROdRGTB_Z0AX_VgWMF&_nc_ht=scontent-hkg4-2.xx&edm=APCh5TUEAAAA&oh=00_AfDxbrSZDC5w7lsPEx1P82GXB1L3GUgNS2NYDGq3Qjf2Jw&oe=64FCBCF9,,
355915284524115_791007843033775,"ET表示外星人,24個字母中,ET走了,還剩下幾個字母??
21個！ET是外星人的意思..所以要開著UFO走..所以還剩21個！！
謝謝提供30年前的IQ題的朋友
-
【外星人神像】
/19*5*4.5cm/
$160
-
3D print製作 ，每隻均有少許不同
-
WhatsApp 55109214
#畢業公仔 #hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #s2s玩具",2023-08-24T10:19:24+0000,160,https://scontent-hkg4-2.xx.fbcdn.net/v/t39.30808-6/370530798_18380109112050183_1045790282933490493_n.jpg?stp=dst-jpg_p720x720&_nc_cat=104&ccb=1-7&_nc_sid=49d041&_nc_ohc=vA5rVE6JM_sAX95ggTY&_nc_ht=scontent-hkg4-2.xx&edm=APCh5TUEAAAA&oh=00_AfA2Sqn850r7M-xww3XKCXnp4RtrNwCo2tIV_vJDUoJyKg&oe=64FBD38F,19*5*4.5cm,外星人神像
